savedIndex,alboumName,songerName,name,songUrl,songMP3Url,imageUrl,url
31,,,???? ???? - ????? ??????? - ??????,,https://music.egonair.com/2023/Apr/Sadat%20El3almy%20X%20Ameen%20Khattab.mp3,https://aghanyna.net/wp-content/uploads/2023/04/mqdefault-15-85x85.jpg,https://aghanyna.net/songs/%d8%a7%d9%85%d9%8a%d9%86-%d8%ae%d8%b7%d8%a7%d8%a8-%d8%b3%d8%a7%d8%af%d8%a7%d8%aa-%d8%a7%d9%84%d8%b9%d8%a7%d9%84%d9%85%d9%8a-%d8%a7%d9%84%d9%81%d9%84%d9%88%d8%b3/
32,,,???? ???? - ???? ????? ??? ???? ???? - ???? ????,,https://music.egonair.com/2023/Apr/Essam%20Sasa.mp3,https://aghanyna.net/wp-content/uploads/2023/04/mqdefault-9-85x85.jpg,https://aghanyna.net/songs/%d8%b9%d8%b5%d8%a7%d9%85-%d8%b5%d8%a7%d8%b5%d8%a7-%d9%85%d9%87%d9%85%d8%a7-%d8%a7%d8%aa%d8%a3%d9%84%d9%85-%d8%a7%d9%86%d8%a7-%d9%87%d9%81%d8%b6%d9%84-%d8%b3%d8%a7%d9%83%d8%aa-%d8%b1%d9%88%d8%ad/
33,,,???? - ?????? ?? ??????,,https://music.egonair.com/2023/Apr/KarKoba.mp3,https://aghanyna.net/wp-content/uploads/2023/04/mqdefault-4-85x85.jpg,https://aghanyna.net/songs/%d9%85%d8%b3%d9%84%d9%85-%d9%83%d8%b1%d9%83%d9%88%d8%a8%d8%a9-%d8%a8%d8%b3-%d8%a8%d8%ad%d9%86%d9%84%d9%87%d8%a7/
34,,,???? ????? - ??? ????? ????? ???? ??????,,https://music.egonair.com/2023/Apr/Houda.Bondo2.Baba.mp3,https://aghanyna.net/wp-content/uploads/2023/04/540-85x85.jpg,https://aghanyna.net/songs/%d8%aa%d9%8a%d8%aa%d9%88-%d9%88%d8%a8%d9%86%d8%af%d9%82-%d8%aa%d8%aa%d8%b1-%d8%a8%d8%af%d8%a7%d9%8a%d8%a9-%d9%85%d8%b3%d9%84%d8%b3%d9%84-%d8%a8%d8%a7%d8%a8%d8%a7-%d8%a7%d9%84%d9%85%d8%ac%d8%a7%d9%84/
35,,,??? ?????? - ??? ???? ???? ??? ???? - ???? ?? ???,,https://music.egonair.com/2023/Mar/Hamo.Eltikha.mp3,https://aghanyna.net/wp-content/uploads/2023/03/mqdefault-43-85x85.jpg,https://aghanyna.net/songs/%d8%ad%d9%85%d9%88-%d8%a7%d9%84%d8%b7%d9%8a%d8%ae%d8%a7-%d9%85%d9%8a%d9%86-%d8%a7%d9%84%d9%84%d9%89-%d9%82%d8%a7%d9%84%d9%83-%d8%a7%d9%86%d9%89-%d9%87%d8%ad%d9%84%d9%83-%d8%a7%d8%a8%d9%86%d9%83/
36,,,???? ???? - ??? ???? - ????? ??? ???,,https://music.egonair.com/2023/Mar/Shiba%20ahi%20Donia.mp3,https://aghanyna.net/wp-content/uploads/2023/03/mqdefault-41-85x85.jpg,https://aghanyna.net/songs/%d8%a7%d8%ad%d9%85%d8%af-%d8%b4%d9%8a%d8%a8%d9%87-%d8%a7%d9%87%d9%8a-%d8%af%d9%86%d9%8a%d8%a7-%d9%85%d8%b3%d9%84%d8%b3%d9%84-%d8%b6%d8%b1%d8%a8-%d9%86%d8%a7%d8%b1/
37,,,???? ????? ? ????? ??? - ??? ??? ??? ?? ???,,https://music.egonair.com/2023/Mar/Resha%20Costa%20Wi%20Samara%20Now.mp3,https://aghanyna.net/wp-content/uploads/2023/03/mqdefault-37-85x85.jpg,https://aghanyna.net/songs/%d8%b1%d9%8a%d8%b4%d8%a7-%d9%83%d9%88%d8%b3%d8%aa%d8%a7-%d9%88-%d8%b3%d9%85%d8%a7%d8%b1%d9%87-%d9%86%d8%a7%d9%88-%d9%83%d8%a7%d9%86-%d9%84%d9%8a%d8%a7-%d9%86%d8%a7%d8%b3-%d9%8a%d8%a7-%d9%86%d8%a7/
38,,,???? ???? - ???? ????,,https://music.egonair.com/2023/Mar/Wahed%20Tany%20-%20Mohamed%20Siam.mp3,https://aghanyna.net/wp-content/uploads/2023/03/mqdefault-32-85x85.jpg,https://aghanyna.net/songs/%d9%85%d8%ad%d9%85%d8%af-%d8%b5%d9%8a%d8%a7%d9%85-%d9%88%d8%a7%d8%ad%d8%af-%d8%aa%d8%a7%d9%86%d9%8a/
39,,,???? ???? ? ???? ?????? - ????????,,https://music.egonair.com/2023/Mar/El%20Sa3ayda.mp3,https://aghanyna.net/wp-content/uploads/2023/03/mqdefault-24-85x85.jpg,https://aghanyna.net/songs/%d8%a3%d8%ad%d9%85%d8%af-%d8%b4%d9%8a%d8%a8%d8%a9-%d9%88-%d8%b9%d8%b5%d8%a7%d9%85-%d9%83%d8%a7%d8%b1%d9%8a%d9%83%d8%a7-%d8%a7%d9%84%d8%b5%d8%b9%d8%a7%d9%8a%d8%af%d8%a9/
40,,,??? ???? - ?????,,https://music.egonair.com/2023/Mar/ALI%20LOKA%20-%20ASRAR.mp3,https://aghanyna.net/wp-content/uploads/2023/03/mqdefault-23-85x85.jpg,https://aghanyna.net/songs/%d8%b9%d9%84%d9%89-%d9%84%d9%88%d9%83%d8%a7-%d8%a3%d8%b3%d8%b1%d8%a7%d8%b1/
41,,,???? ?????? - ????,,https://music.egonair.com/2023/Mar/SAMER%20ELMEDANY%20SAFA7.mp3,https://aghanyna.net/wp-content/uploads/2023/03/sddefault-85x85.jpg,https://aghanyna.net/songs/%d8%b3%d8%a7%d9%85%d8%b1-%d8%a7%d9%84%d9%85%d8%af%d9%86%d9%8a-%d8%b3%d9%81%d8%a7%d8%ad/
42,,,???? ???? - ??? ??? ??? ????? ????,,https://music.egonair.com/2023/Mar/Essam%20Sasa%20Yall%20Bosa.mp3,https://aghanyna.net/wp-content/uploads/2023/03/mqdefault-10-85x85.jpg,https://aghanyna.net/songs/%d8%b9%d8%b5%d8%a7%d9%85-%d8%b5%d8%a7%d8%b5%d8%a7-%d9%8a%d9%84%d8%a7-%d9%86%d8%af%d9%8a-%d9%84%d9%84%d9%8a-%d8%a8%d8%a7%d8%b9%d9%86%d8%a7-%d8%a8%d9%88%d8%b3%d9%87/
