name,songUrl,songMP3Url,imageUrl,url
اسكت خالص,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_afrwtw_askt_khals.mp3,https://www.mrmazika.com/uploads/cdnimg/33727fed199110e93ce4351ec82455f1.webp,https://www.mrmazika.com/listen/32269-عفروتو-اسكت-خالص.html
يسقط كل حدا سافل,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_fars_krm_yskt_kl_hda_safl.mp3,https://www.mrmazika.com/uploads/cdnimg/8328a7857618ee6e2cd542c67f594677.jpg,https://www.mrmazika.com/listen/32268-فارس-كرم-يسقط-كل-حدا-سافل.html
افتكرلك ايه,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_my_farwk_aftkrlk_ayh.mp3,https://www.mrmazika.com/uploads/singers/mai-farouk_865.webp,https://www.mrmazika.com/listen/32267-مي-فاروق-افتكرلك-ايه.html
مشتاق اشوفة,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_aly_bdr_mshtak_ashwft.mp3,https://www.mrmazika.com/uploads/singers/ali-badr_909.webp,https://www.mrmazika.com/listen/32266-علي-بدر-مشتاق-اشوفة.html
يا كثر الشوق,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_khald_alhnyn_ya_ksr_alshwk.mp3,https://www.mrmazika.com/uploads/singers/khaled-elhanin_742.webp,https://www.mrmazika.com/listen/32264-خالد-الحنين-يا-كثر-الشوق.html
اللي فينا يكفينا,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_nzar_adyl_ally_fyna_ykfyna.mp3,https://www.mrmazika.com/uploads/singers/nzar-adil_756.webp,https://www.mrmazika.com/listen/32262-نزار-اديل-اللي-فينا-يكفينا.html
قلبي يدق يدق,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_shyryn_allgmy_klby_ydk_ydk.mp3,https://www.mrmazika.com/uploads/singers/sherin-ellagmy_533.webp,https://www.mrmazika.com/listen/32261-شيرين-اللجمي-قلبي-يدق-يدق.html
بالمجاني,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_hmwd_alkhdr_balmgany.mp3,https://www.mrmazika.com/uploads/singers/maxresdefault_626.webp,https://www.mrmazika.com/listen/32256-حمود-الخضر-بالمجاني.html
يا كثر الشوق,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_hnyn_aldwsry_ya_ksr_alshwk.mp3,/images/twitter.png,https://www.mrmazika.com/listen/32252-حنين-الدوسري-يا-كثر-الشوق.html
انت الأصيل,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_karmn_slyman_ant_alasyl.mp3,https://www.mrmazika.com/uploads/cdnimg/1a4ea5747c8d05bd7c22dbc45ccd8b6a.jpg,https://www.mrmazika.com/listen/32249-كارمن-سليمان-انت-الأصيل.html
